time, number of rows, filesize (MB)
2024-02-02 17:09:05.917790, 222, 0.110592
2024-02-02 17:11:05.927655, 1963, 0.905216
2024-02-02 17:13:05.937887, 3675, 1.683456
2024-02-02 17:15:05.948702, 4710, 2.162688
2024-02-02 17:17:05.949347, 6402, 2.932736
2024-02-02 17:19:05.963395, 8080, 3.694592
2024-02-02 17:21:05.972762, 9731, 4.452352
2024-02-02 17:23:05.990155, 11354, 5.189632
2024-02-02 17:25:06.000243, 12934, 5.910528
2024-02-02 17:27:06.004102, 14503, 6.627328
2024-02-02 17:29:19.809758, 15868, 7.24992
2024-02-02 17:31:19.821140, 17405, 7.94624
2024-02-02 17:33:19.824570, 18941, 8.650752
2024-02-02 17:35:19.835590, 20468, 9.347072
2024-02-02 17:37:19.838099, 21980, 10.039296
2024-02-02 17:39:19.865291, 23471, 10.715136
2024-02-02 17:41:19.877441, 24941, 11.390976
2024-02-02 17:43:19.887816, 26417, 12.06272
2024-02-02 17:45:19.898174, 27893, 12.734464
2024-02-02 17:47:19.908974, 29358, 13.402112
2024-02-02 17:49:19.928889, 30808, 14.065664
2024-02-02 17:51:19.927545, 32267, 14.733312
2024-02-02 17:53:19.966410, 33704, 15.384576
2024-02-02 17:55:19.975123, 35113, 16.027648
2024-02-02 17:57:19.955596, 36503, 16.662528
2024-02-02 17:59:19.993660, 37872, 17.28512
2024-02-02 18:01:20.004669, 39214, 17.903616
2024-02-02 18:03:19.993441, 40545, 18.505728
2024-02-02 18:05:19.984943, 41873, 19.111936
2024-02-02 18:07:19.995542, 43194, 19.718144
2024-02-02 18:09:20.005591, 44493, 20.307968
2024-02-02 18:11:20.003706, 45787, 20.897792
2024-02-02 18:13:20.021289, 47075, 21.487616
2024-02-02 18:15:20.039286, 48346, 22.065152
2024-02-02 18:17:20.090186, 49588, 22.6304
2024-02-02 18:19:20.085206, 50808, 23.191552
2024-02-02 18:21:20.095549, 52026, 23.744512
2024-02-02 18:23:20.090333, 53204, 24.281088
2024-02-02 18:25:20.114603, 54357, 24.809472
2024-02-02 18:27:20.109256, 55514, 25.337856
2024-02-02 18:29:20.104675, 56674, 25.86624
2024-02-02 18:31:20.326081, 57809, 26.386432
2024-02-02 18:33:20.140828, 58921, 26.89024
2024-02-02 18:35:20.150915, 60019, 27.389952
2024-02-02 18:37:20.160265, 61087, 27.881472
2024-02-02 18:39:20.193470, 62146, 28.3648
2024-02-02 18:41:20.173194, 63198, 28.839936
2024-02-02 18:43:20.181399, 64249, 29.319168
2024-02-02 18:45:20.191201, 65284, 29.794304
2024-02-02 18:47:20.216753, 66329, 30.26944
2024-02-02 18:49:20.240963, 67373, 30.744576
2024-02-02 18:51:20.219169, 68420, 31.227904
2024-02-02 18:53:20.228348, 69458, 31.698944
